id,branchId,name,provinceId,server,cc,ip,db,backups,externalDisk,dataReduction,emailValidation,ftp,s3,voxelLog,failOver,voxel,updateBox,bkConsecutivo,status,createdAt
"b_1786035665315_udzpk","31","El Brisal","p9","SD-BRISAL-SV-PS","31","192.168.63.204","FEXPharmacySoftRDPtoVtaSuc31","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T17:01:05.315Z"
"b_1786035558283_of886","30","Renacimiento 1","p9","SD-REN1-SV-PS","30","192.168.43.204","FEXPharmacySoftRDPtoVtaSuc30","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:59:18.283Z"
"b_1786035403092_cig37","29","Villa Carmen","p9","SD-VILLCA-SV-PS","29","192.168.59.204","FEXPharmacySoftRDPtoVtaSuc29","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:56:43.092Z"
"b_1786035304310_lf7px","27","Piantini","p9","SD-PIA-SV-PS","27","192.168.49.204","FEXPharmacySoftRDPtoVtaSuc27","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:55:04.310Z"
"b_1786034624743_ad1kl","24","Las Palmas de Herrera","p9","SD-PALHE-SV-PS","24","192.168.70.204","FEXPharmacySoftRDPtoVtaSuc24","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:43:44.743Z"
"b_1786034338941_c1bwi","23","Barrio Duarte","p9","SD-BDUAR-SV-PS","23","192.168.69.204","FEXPharmacySoftRDPtoVtaSuc23","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:38:58.941Z"
"b_1786034247245_7g5cs","18","El Vergel","p9","SD-VERGE-SV-PS","18","192.168.45.204","FEXPharmacySoftRDPtoVtaSuc18","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:37:27.245Z"
"b_1786034166182_hde06","15","Metro María Montes","p9","SD-MAMON-SV-PS","15","192.168.42.204","FEXPharmacySoftRDPtoVtaSuc15","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:36:06.182Z"
"b_1786034100399_j626q","14","Metro JPD (Juan Pablo Duarte)","p9","SD-MEJPD-SV-PS","14","192.168.46.204","FEXPharmacySoftRDPtoVtaSuc14","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:35:00.399Z"
"b_1786034030150_1yav7","1","CEDIS","p9","SD-CEDSD-SV-PS","1","192.168.150.204","FEXPharmacySoftRDAlmacen01","SI","Solicitado","NO","NA","NO","SI","NA","NA","NO","NO","NO","active","2026-08-06T16:33:50.150Z"
"b_1786033907555_2bzvs","79","Merca Jumbo Terrenas","p8","SM-MJTERR-SV-PS","91","192.168.99.204","FEXPharmacySoftRDPtoVtaSuc79","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","NO","active","2026-08-06T16:31:47.555Z"
"b_1786033817216_gsnyz","74","Merca Jumbo Nagua","p7","NG-NAGUA-SV-PS","81","192.168.29.204","FEXPharmacySoftRDPtoVtaSuc74","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","active","2026-08-06T16:30:17.216Z"
"b_1786033732242_azqgy","62","Bonao","p6","BO-BON1-SV-PS","62","192.168.89.204","FEXPharmacySoftRDPtoVtaSuc62","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:28:52.242Z"
"b_1786033699954_5zobe","59","Bravo La Vega","p5","VG-BRAVG-SV-PS","59","192.168.87.204","FEXPharmacySoftRDPtoVtaSuc59","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:28:19.954Z"
"b_1786033545157_eegmd","60","Bravo San Francisco de Macorís","p4","SFC-BRVSFM-SV-PS","60","192.168.88.204","FEXPharmacySoftRDPtoVtaSuc60","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:25:45.157Z"
"b_1786033398221_6d7ch","16","Urbanización La Piña San Francisco de Macorís","p4","SFC-PINA-SV-PS","16","192.168.34.204","FEXPharmacySoftRDPtoVtaSuc16","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:23:18.221Z"
"b_1786033335768_bbc8b","13","Centro Ciudad San Francisco de Macorís","p4","SFC-SFCEN-SV-PS","13","192.168.80.204","FEXPharmacySoftRDPtoVtaSuc13","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:22:15.768Z"
"b_1786033204405_7ljpu","55","Mao Esperanza","p3","MA-ESPERA-SV-PS","55","192.168.86.204","FEXPharmacySoftRDPtoVtaSuc55","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:20:04.405Z"
"b_1786033156819_stuli","12","Centro Ciudad Mao","p3","MA-MAO-SV-PS","12","192.168.30.204","FEXPharmacySoftRDPtoVtaSuc12","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:19:16.819Z"
"b_1786033102506_kvlb6","11","Centro Ciudad Moca","p2","MC-MOCA-SV-PS","11","192.68.15.204","FEXPharmacySoftRDPtoVtaSuc11","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:18:22.506Z"
"b_1786033036819_bkghw","75","Merca Jumbo Cien Fuegos","p1","ST-MJCIFU-SV-PS","85","192.168.98.204","FEXPharmacySoftRDPtoVtaSuc75","SI","NO","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:17:16.819Z"
"b_1786032923257_ppnnj","70","Navarrete","p1","ST-NAVA-SV-PS","83","192.168.25.204","FEXPharmacySoftRDPtoVtaSuc70","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","active","2026-08-06T16:15:23.257Z"
"b_1786032851209_pz5y4","68","La Herradura","p1","ST-LAHERRA-PS","74","192.168.94.204","FEXPharmacySoftRDPtoVtaSuc68","SI","Solicitado","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:14:11.209Z"
"b_1786032819554_zjvyt","64","Bravo Yaque","p1","ST-BRAYAQ-SV-PS","71","192.168.91.204","FEXPharmacySoftRDPtoVtaSuc64","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:13:39.554Z"
"b_1786032785545_gmc4v","65","Tamboril 3","p1","ST-TB3-SV-PS","72","192.168.33.204","FEXPharmacySoftRDPtoVtaSuc65","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:13:05.545Z"
"b_1786032749419_lt5b1","61","Las Carreras","p1","ST-CARRE-SV-PS","61","192.168.32.204","FEXPharmacySoftRDPtoVtaSuc61","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:12:29.419Z"
"b_1786032651035_sxf8v","58","Embrujo 1","p1","ST-EMB1-SV-PS","58","192.168.10.218","FEXPharmacySoftRDPtoVtaSuc58","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:10:51.035Z"
"b_1786032598421_9co9s","57","La Moraleja","p1","ST-JPD-SV-PS","57","192.168.10.220","FEXPharmacySoftRDPtoVtaSuc57","SI","SI","SI","SI","SI","SI","SI","NA","SI","SI","NO","active","2026-08-06T16:09:58.421Z"
"b_1786032489252_1aqp9","53","Bravo Pontezuela","p1","ST-BRAVO-SV-PS","53","192.168.24.204","FEXPharmacySoftRDPtoVtaSuc53","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:08:09.252Z"
"b_1786032385672_j4int","51","Tamboril 2","p1","ST-TB2-SV-PS","51","192.168.23.204","FEXPharmacySoftRDPtoVtaSuc51","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:06:25.672Z"
"b_1786032306543_qi2dl","26","La Trinitaria","p1","ST-TRINIT-SV-PS","26","192.168.37.204","FEXPharmacySoftRDPtoVtaSuc26","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:05:06.543Z"
"b_1786032073161_jbsdi","22","Los Laureles","p1","ST-LAURE-SV-PS","22","192.168.60.204","FEXPharmacySoftRDPtoVtaSuc22","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:01:13.161Z"
"b_1786032009106_tr09l","21","Jardines Metropolitanos","p1","ST-JARDMP-SV-PS","21","192.168.31.204","FEXPharmacySoftRDPtoVtaSuc21","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T16:00:09.106Z"
"b_1786031970648_906ay","10","La Española","p1","ST-ESPAN-SV-PS","10","192.168.92.204","FEXPharmacySoftRDPtoVtaSuc10","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","closed","2026-08-06T15:59:30.648Z"
"b_1786031886674_nlqia","9","Tamboril 1","p1","ST-TB1-SV-PS","9","192.168.57.204","FEXPharmacySoftRDPtoVtaSuc9","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T15:58:06.674Z"
"b_1786031788069_g014r","8","Ensanche Libertad","p1","ST-EL-SV-PS","8","192.168.56.204","FEXPharmacySoftRDPtoVtaSuc8","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T15:56:28.069Z"
"b_1786031619295_juna7","7","Plaza Las Américas","p1","ST-PLA-SV-PS","7","192.168.55.204","FEXPharmacySoftRDPtoVtaSuc7","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","active","2026-08-06T15:53:39.295Z"
